composite | 2023-02-02 2023-02-02 05:56:00 Buy: No option snapshot (expiry=2023-02-02, spot=17611.1)
composite | 2023-02-02 2023-02-02 05:57:00 Buy: No option snapshot (expiry=2023-02-02, spot=17611.2)
composite | 2023-02-02 2023-02-02 05:58:00 Buy: No option snapshot (expiry=2023-02-02, spot=17611.65)
composite | 2023-02-02 2023-02-02 05:59:00 Buy: No option snapshot (expiry=2023-02-02, spot=17622.0)
composite | 2023-02-02 2023-02-02 06:00:00 Buy: No option snapshot (expiry=2023-02-02, spot=17612.55)
composite | 2023-02-02 2023-02-02 06:01:00 Buy: No option snapshot (expiry=2023-02-02, spot=17610.95)
composite | 2023-02-02 2023-02-02 06:19:00 Sell: No option snapshot (expiry=2023-02-02, spot=17585.2)
composite | 2023-02-02 2023-02-02 06:20:00 Sell: No option snapshot (expiry=2023-02-02, spot=17593.6)
composite | 2023-02-02 2023-02-02 06:21:00 Sell: No option snapshot (expiry=2023-02-02, spot=17590.6)
composite | 2023-02-02 2023-02-02 06:28:00 Buy: No option snapshot (expiry=2023-02-02, spot=17606.85)
composite | 2023-02-02 2023-02-02 06:31:00 Buy: No option snapshot (expiry=2023-02-02, spot=17615.85)
composite | 2023-02-02 2023-02-02 06:35:00 Buy: No option snapshot (expiry=2023-02-02, spot=17620.5)
composite | 2023-02-02 2023-02-02 06:36:00 Buy: No option snapshot (expiry=2023-02-02, spot=17628.7)
composite | 2023-02-02 2023-02-02 06:39:00 Buy: No option snapshot (expiry=2023-02-02, spot=17633.25)
composite | 2023-02-02 2023-02-02 06:40:00 Buy: No option snapshot (expiry=2023-02-02, spot=17630.75)
composite | 2023-02-02 2023-02-02 06:41:00 Buy: No option snapshot (expiry=2023-02-02, spot=17630.55)
composite | 2023-02-02 2023-02-02 06:42:00 Buy: No option snapshot (expiry=2023-02-02, spot=17628.65)
composite | 2023-02-02 2023-02-02 07:00:00 Sell: No option snapshot (expiry=2023-02-02, spot=17592.7)
composite | 2023-02-02 2023-02-02 07:06:00 Sell: No option snapshot (expiry=2023-02-02, spot=17565.4)
composite | 2023-02-02 2023-02-02 07:07:00 Sell: No option snapshot (expiry=2023-02-02, spot=17568.6)
composite | 2023-02-02 2023-02-02 07:08:00 Sell: No option snapshot (expiry=2023-02-02, spot=17565.0)
composite | 2023-02-02 2023-02-02 07:09:00 Sell: No option snapshot (expiry=2023-02-02, spot=17563.65)
composite | 2023-02-02 2023-02-02 07:10:00 Sell: No option snapshot (expiry=2023-02-02, spot=17562.0)
composite | 2023-02-02 2023-02-02 07:11:00 Sell: No option snapshot (expiry=2023-02-02, spot=17565.85)
composite | 2023-02-02 2023-02-02 07:12:00 Sell: No option snapshot (expiry=2023-02-02, spot=17563.05)
composite | 2023-02-02 2023-02-02 07:15:00 Sell: No option snapshot (expiry=2023-02-02, spot=17551.65)
composite | 2023-02-02 2023-02-02 07:16:00 Sell: No option snapshot (expiry=2023-02-02, spot=17554.35)
composite | 2023-02-02 2023-02-02 07:32:00 Buy: No option snapshot (expiry=2023-02-02, spot=17577.8)
